File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\error_handling.hpp,217,180,151,0,31,0,6,41,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\eval.hpp,104,75,62,0,19,0,10,55,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\expand.hpp,83,64,51,0,18,0,1,6,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\extend.hpp,87,60,33,2,18,8,9,39,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\file.hpp,134,68,40,0,30,0,36,224,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\functions.hpp,199,189,177,0,10,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\inspect.hpp,104,84,75,0,11,0,9,30,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\json.hpp,118,54,38,1,25,2,39,268,22,173
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\kwd_arg_macros.hpp,29,14,2,1,5,0,10,17,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\lexer.hpp,316,196,129,44,42,0,78,337,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\listize.hpp,35,23,11,0,12,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\mapping.hpp,19,12,6,0,7,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\node.hpp,119,54,39,0,32,0,33,375,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\operation.hpp,174,157,145,0,9,0,8,12,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\operators.hpp,31,20,14,0,8,0,3,20,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\output.hpp,55,40,25,2,14,0,1,10,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\parser.hpp,401,270,208,24,65,0,66,472,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\paths.hpp,72,56,33,12,16,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\plugins.hpp,58,38,13,0,18,4,2,16,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\position.hpp,125,87,63,1,31,10,7,70,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\prelexer.hpp,485,337,280,47,57,3,91,433,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\remove_placeholders.hpp,36,23,13,0,13,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass.hpp,140,78,27,0,29,0,33,187,1,9
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_context.hpp,129,51,44,0,33,0,45,211,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_functions.hpp,50,36,30,0,7,2,7,38,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_util.hpp,257,99,65,17,51,1,107,479,0,0
